import time: self [us] | cumulative | imported package
import time:       170 |        170 |                 django.db.models.fields.proxy
import time:       650 |        650 |                   django.db.models.query
import time:       378 |       1027 |                 django.db.models.manager
import time:       434 |        434 |                     django.db.models.fields.related_descriptors
import time:       311 |        311 |                     django.db.models.fields.related_lookups
import time:       222 |        222 |                     django.db.models.fields.reverse_related
import time:       705 |       1671 |                   django.db.models.fields.related
import time:       381 |        381 |                   django.db.models.options
import time:       600 |       2650 |                 django.db.models.base
import time:       309 |      46463 |               django.db.models
import time:       542 |      47004 |             django.core.serializers.base
import time:       327 |      47330 |           django.core.serializers
import time:       141 |        141 |           django.core.serializers.python
import time:       271 |      47742 |         django.core.serializers.json
import time:       646 |      52873 |       django.http.response
import time:       256 |      63587 |     django.http
import time:       182 |        182 |     django.urls.exceptions
import time:       281 |        281 |       django.urls.converters
import time:       685 |        685 |       django.urls.utils
import time:       443 |       1408 |     django.urls.resolvers
import time:       508 |      65683 |   django.urls.base
import time:        91 |         91 |   django.urls.conf
import time:       296 |      66070 | django.urls
import time:       460 |        460 |     logging.handlers
import time:       478 |        478 |     socketserver
import time:       715 |       1651 |   logging.config
import time:       328 |        328 |       email.generator
import time:      1157 |       1157 |         email._header_value_parser
import time:       384 |       1541 |       email.headerregistry
import time:       208 |        208 |         email.mime
import time:       239 |        239 |           email.contentmanager
import time:       268 |        506 |         email.policy
import time:       318 |       1032 |       email.mime.base
import time:       182 |        182 |         email.mime.nonmultipart
import time:       182 |        363 |       email.mime.message
import time:       474 |        474 |       email.mime.multipart
import time:        77 |         77 |       email.mime.text
import time:        76 |         76 |       django.core.mail.utils
import time:       581 |       4468 |     django.core.mail.message
import time:       332 |       4800 |   django.core.mail
import time:       276 |       6726 | django.utils.log
import time:       209 |        209 |       django.template.response
import time:       221 |        221 |       django.utils.decorators
import time:       423 |        851 |     django.views.generic.base
import time:       224 |        224 |       django.views.generic.detail
import time:      1913 |       1913 |         django.core.paginator
import time:       191 |       2103 |       django.views.generic.list
import time:       485 |       2812 |     django.views.generic.dates
import time:       393 |        393 |     django.views.generic.edit
import time:       435 |       4489 |   django.views.generic
import time:         9 |       4498 | django.views.generic.base
import time:       451 |        451 |     dataclasses
import time:       313 |        764 |   pprint
import time:       496 |        496 |   django.utils.timesince
import time:       434 |       1693 | django.template.defaultfilters
import time:        90 |         90 |   django.views.decorators
import time:       244 |        333 | django.views.decorators.debug
import time:       107 |        107 |   django.utils.lorem_ipsum
import time:       293 |        293 |   django.template.smartif
import time:       560 |        960 | django.template.defaulttags
import time:       403 |        403 | django.contrib.admin.decorators
